Plate,Best Fit: Final OD vs Growth OD,Best Fit: 680nm/650nm vs 650nm,Best Fit Piece 1: 650 nm vs Final OD,Best Fit Piece 2: 650 nm vs Final OD,Transition OD Between Piece 1/Piece 2
1,0.79x + -0.01,0.31x + 0.31,-0.63x + 0.33,-0.35x + 0.27,0.208
2,0.79x + -0.02,0.28x + 0.31,-0.61x + 0.33,-0.27x + 0.25,0.233
3,0.9x + -0.08,0.27x + 0.32,-0.65x + 0.33,-0.17x + 0.23,0.208
4,0.89x + -0.1,0.28x + 0.31,-0.63x + 0.34,-0.17x + 0.25,0.201
5,0.68x + 0.02,0.31x + 0.32,-0.51x + 0.32,-0.34x + 0.28,0.266
6,0.72x + 0.0,0.36x + 0.29,-0.48x + 0.33,-0.36x + 0.3,0.245
7,0.77x + -0.03,0.34x + 0.31,-0.6x + 0.33,-0.26x + 0.26,0.218
8,0.79x + -0.03,0.25x + 0.31,-0.53x + 0.33,-0.35x + 0.29,0.232
9,0.76x + 0.01,0.4x + 0.31,-0.41x + 0.3,-0.26x + 0.25,0.271
10,0.86x + -0.04,0.32x + 0.3,-0.43x + 0.31,-0.13x + 0.23,0.268
11,0.82x + -0.01,0.27x + 0.33,-0.5x + 0.31,-0.17x + 0.24,0.205
12,0.89x + -0.05,0.29x + 0.31,-0.42x + 0.31,-0.32x + 0.29,0.211
13,0.21x + 0.19,0.5x + 0.29,-0.45x + 0.31,-0.4x + 0.3,0.206
14,0.89x + -0.05,0.28x + 0.31,-0.51x + 0.32,-0.38x + 0.29,0.205
15,0.64x + 0.03,0.25x + 0.34,-0.51x + 0.31,-0.28x + 0.26,0.232
16,0.47x + 0.14,0.36x + 0.31,-0.5x + 0.31,-0.27x + 0.25,0.259
17,0.6x + 0.02,0.49x + 0.29,-0.35x + 0.28,-0.2x + 0.24,0.236
18,0.54x + 0.06,0.53x + 0.28,-0.32x + 0.28,-0.2x + 0.25,0.244
19,0.67x + -0.0,0.55x + 0.28,-0.36x + 0.28,-0.2x + 0.25,0.207
20,0.79x + -0.05,0.82x + 0.23,-0.39x + 0.28,-0.17x + 0.24,0.215
21,0.79x + -0.02,0.55x + 0.28,-0.46x + 0.29,-0.19x + 0.23,0.22
22,0.95x + -0.05,0.5x + 0.27,-0.36x + 0.29,-0.27x + 0.27,0.201
23,0.65x + 0.06,0.39x + 0.31,-0.44x + 0.3,-0.12x + 0.23,0.227
25,0.65x + 0.03,0.47x + 0.3,-0.36x + 0.29,-0.37x + 0.29,0.205
27,0.58x + 0.02,0.48x + 0.28,-0.37x + 0.29,-0.33x + 0.28,0.208
28,0.64x + 0.0,0.53x + 0.28,-0.42x + 0.29,-0.16x + 0.24,0.204
29,0.3x + 0.15,0.32x + 0.32,-0.42x + 0.28,-0.25x + 0.24,0.231
30,0.83x + -0.06,0.46x + 0.31,-0.37x + 0.29,-0.29x + 0.27,0.207
31,0.38x + 0.12,0.4x + 0.3,-0.42x + 0.3,-0.25x + 0.26,0.22
32,0.63x + -0.0,0.49x + 0.3,-0.45x + 0.3,-0.2x + 0.24,0.217
33,0.47x + 0.1,0.4x + 0.3,-0.36x + 0.3,-0.34x + 0.29,0.234
34,0.57x + 0.09,0.45x + 0.31,-0.44x + 0.3,-0.22x + 0.25,0.213
35,0.5x + 0.11,0.39x + 0.3,-0.41x + 0.3,-0.31x + 0.27,0.223
36,0.31x + 0.19,0.38x + 0.32,-0.44x + 0.3,-0.26x + 0.26,0.216
37,0.52x + 0.07,0.43x + 0.29,-0.39x + 0.3,-0.26x + 0.27,0.21
38,0.8x + -0.04,0.58x + 0.29,-0.54x + 0.29,-0.31x + 0.23,0.279
39,0.62x + 0.02,0.34x + 0.31,-0.44x + 0.3,-0.44x + 0.3,0.228
40,0.65x + -0.03,0.33x + 0.33,-0.5x + 0.3,-0.31x + 0.26,0.221
41,0.64x + -0.0,0.35x + 0.31,-0.44x + 0.3,-0.46x + 0.3,0.206
42,0.66x + 0.04,0.5x + 0.3,-0.52x + 0.28,-0.34x + 0.23,0.318
44,0.27x + 0.22,0.47x + 0.29,-0.45x + 0.28,-0.51x + 0.3,0.311
45,0.44x + 0.11,0.41x + 0.31,-0.45x + 0.29,-0.53x + 0.3,0.241
46,0.36x + 0.17,0.84x + 0.27,-0.52x + 0.26,-0.65x + 0.3,0.334
79,0.62x + 0.04,0.52x + 0.29,-0.55x + 0.27,-0.35x + 0.22,0.275
80,0.7x + -0.02,0.57x + 0.3,-0.66x + 0.27,-0.2x + 0.16,0.237
81,0.58x + 0.02,0.43x + 0.3,-0.64x + 0.27,-0.42x + 0.23,0.202
82,0.47x + 0.12,0.52x + 0.3,-0.56x + 0.26,-0.29x + 0.2,0.237
83,0.55x + 0.12,0.44x + 0.3,-0.65x + 0.27,-0.18x + 0.17,0.225
84,0.59x + 0.05,0.59x + 0.29,-0.71x + 0.27,-0.28x + 0.18,0.23
85,0.3x + 0.23,0.84x + 0.26,-0.57x + 0.27,-0.19x + 0.14,0.338
86,0.67x + 0.01,0.57x + 0.3,-0.55x + 0.27,-0.34x + 0.21,0.293
87,0.62x + 0.06,0.46x + 0.3,-0.52x + 0.27,-0.42x + 0.24,0.302
88,0.47x + 0.1,0.64x + 0.29,-0.56x + 0.28,-0.36x + 0.22,0.285
89,0.59x + 0.02,0.45x + 0.3,-0.58x + 0.28,-0.34x + 0.23,0.216
90,0.71x + 0.02,0.67x + 0.28,-0.72x + 0.28,-0.27x + 0.18,0.222
91,0.67x + 0.07,0.58x + 0.29,-0.47x + 0.27,-0.4x + 0.25,0.352
92,0.39x + 0.17,0.67x + 0.29,-0.61x + 0.28,-0.18x + 0.15,0.291
93,0.62x + 0.03,0.39x + 0.31,-0.62x + 0.28,-0.37x + 0.23,0.206
94,0.82x + -0.03,0.53x + 0.3,-0.52x + 0.26,-0.35x + 0.21,0.305
95,0.82x + -0.02,0.52x + 0.3,-0.45x + 0.26,-0.51x + 0.28,0.226
96,0.83x + -0.07,0.47x + 0.31,-0.52x + 0.27,-0.43x + 0.25,0.211
97,0.88x + -0.04,0.51x + 0.3,-0.49x + 0.27,-0.42x + 0.25,0.264
98,0.52x + 0.14,0.69x + 0.29,-0.49x + 0.26,-0.41x + 0.24,0.26
99,0.65x + 0.09,0.51x + 0.3,-0.48x + 0.27,-0.32x + 0.21,0.357
100,0.61x + 0.09,0.52x + 0.31,-0.49x + 0.26,-0.42x + 0.25,0.231