Operon Description,Operon Members (Combined),Operon (Source 1),Operon (Source 2),Loci with Available Insertions,Loci Whose Knockout Causes Higher Biosorption,Loci Whose Knockout Causes Lower Biosorption,p-value for  Differential Biosorption (pdiff),p-value for Higher Biosorption (phigh),p-value for Lower Biosorption (plow),Selected for Fig. 2,p-value for Significance Sorting,Notes
ABC-type Peptide Uptake System,SO_1801 (sapF); SO_1802 (sapD); SO_1803 (sapC); SO_1804 (sapB); SO_1805 (sapA); SO_1806 (pspF).,SO_1801 (sapF); SO_1802 (sapD); SO_1803 (sapC); SO_1804 (sapB); SO_1805 (sapA); SO_1806 (pspF).,SO_1801 (sapF); SO_1802 (sapD); SO_1803 (sapC); SO_1804 (sapB); SO_1805 (sapA); SO_1806 (pspF).,SO_1801 (sapF); SO_1803 (sapC); SO_1805 (sapA).,SO_1805 (sapA),SO_1801 (sapF),0.028,NA,NA,Y,0.028,
Branched Chain Amino Acid Degradation Pathway,SO_1891 (liuG); SO_1893 (liuE); SO_1894 (liuD); SO_1895 (liuC); SO_1896 (liuB); SO_1897 (liuA); SO_1898 (liuR).,SO_1891 (liuG); SO_1893 (liuE); SO_1894 (liuD); SO_1895 (liuC); SO_1896 (liuB); SO_1897 (liuA); SO_1898 (liuR).,SO_1891 (liuG); SO_1893 (liuE); SO_1894 (liuD); SO_1895 (liuC); SO_1896 (liuB); SO_1897 (liuA); SO_1898 (liuR).,SO_1891 (liuG); SO_1892 (liuF); SO_1893 (liuE); SO_1894 (liuD); SO_1895 (liuC); SO_1896 (liuB); SO_1897 (liuA).,,SO_1892 (liuF); SO_1896 (liuB).,0.110,NA,0.027,N,0.027,
ABC-type Phospholipid Uptake System,SO_3948 (murA); SO_3949 (yrbA); SO_3950 (mlaB); SO_3951 (mlaC); SO_3952 (mlaD); SO_3953 (mlaE); SO_3954 (mlaF).,SO_3948 (murA); SO_3949 (yrbA); SO_3950 (mlaB); SO_3951 (mlaC); SO_3952 (mlaD); SO_3953 (mlaE); SO_3954 (mlaF).,SO_3948 (murA); SO_3949 (yrbA); SO_3950 (mlaB); SO_3951 (mlaC); SO_3952 (mlaD); SO_3953 (mlaE); SO_3954 (mlaF).,SO_3948 (murA); SO_3949 (yrbA); SO_3950 (mlaB); SO_3951 (mlaC); SO_3952 (mlaD); SO_3953 (mlaE); SO_3954 (mlaF).,,SO_3951 (mlaC); SO_3952 (mlaD).,0.063,NA,0.015,Y,0.015,
Unknown Function,SO_0632 (hrpB); SO_0633 (mrcB); SO_0635 (ppiC).,SO_0632 (hrpB); SO_0633 (mrcB); SO_0635 (ppiC).,SO_0632 (hrpB); SO_0633 (mrcB); SO_0635 (ppiC).,SO_0632 (hrpB); SO_0633 (mrcB); SO_0635 (ppiC).,SO_0633 (mrcB),SO_0632 (hrpB),0.015,NA,NA,Y,0.015,
Chemotaxis Signal Transduction and Flagellar Motor Synthesis 1,SO_3200 (SO_3200); SO_3202 (cheW); SO_3203 (cheW); SO_3204 (SO_3204); SO_3205 (SO_3205); SO_3206 (cheB); SO_3207 (cheA); SO_3208 (cheZ); SO_3209 (cheY); SO_3210 (fliA); SO_3211 (flhG); SO_3212 (flhF); SO_3213 (flhA); SO_3215 (flhB); SO_3216 (fliR); SO_3217 (fliQ); SO_3218 (fliP); SO_3219 (fliO); SO_3220 (fliN); SO_3221 (fliM); SO_3222 (fliL); SO_3223 (fliK); SO_3224 (fliJ); SO_3225 (fliI); SO_3226 (fliH); SO_3227 (fliG); SO_3228 (fliF); SO_3229 (fliE); SO_3230 (flrC); SO_3231 (flrB); SO_3232 (flrA).,SO_3200 (SO_3200); SO_3202 (cheW); SO_3203 (cheW); SO_3204 (SO_3204); SO_3205 (SO_3205); SO_3206 (cheB); SO_3207 (cheA); SO_3208 (cheZ); SO_3209 (cheY); SO_3210 (fliA); SO_3211 (flhG); SO_3212 (flhF); SO_3213 (flhA); SO_3215 (flhB); SO_3216 (fliR); SO_3217 (fliQ); SO_3218 (fliP); SO_3219 (fliO); SO_3220 (fliN); SO_3221 (fliM); SO_3222 (fliL); SO_3223 (fliK); SO_3224 (fliJ); SO_3225 (fliI); SO_3226 (fliH); SO_3227 (fliG); SO_3228 (fliF); SO_3229 (fliE); SO_3230 (flrC); SO_3231 (flrB); SO_3232 (flrA).,SO_3200 (SO_3200); SO_3202 (cheW); SO_3203 (cheW); SO_3204 (SO_3204); SO_3205 (SO_3205); SO_3206 (cheB); SO_3207 (cheA); SO_3208 (cheZ); SO_3209 (cheY); SO_3210 (fliA); SO_3211 (flhG); SO_3212 (flhF); SO_3213 (flhA); SO_3215 (flhB); SO_3216 (fliR); SO_3217 (fliQ); SO_3218 (fliP); SO_3219 (fliO); SO_3220 (fliN); SO_3221 (fliM); SO_3222 (fliL); SO_3223 (fliK); SO_3224 (fliJ); SO_3225 (fliI); SO_3226 (fliH); SO_3227 (fliG); SO_3228 (fliF); SO_3229 (fliE); SO_3230 (flrC); SO_3231 (flrB); SO_3232 (flrA).,SO_3200 (SO_3200); SO_3203 (cheW); SO_3204 (SO_3204); SO_3205 (SO_3205); SO_3207 (cheA); SO_3208 (cheZ); SO_3209 (cheY); SO_3210 (fliA); SO_3211 (flhG); SO_3212 (flhF); SO_3213 (flhA); SO_3215 (flhB); SO_3216 (fliR); SO_3217 (fliQ); SO_3218 (fliP); SO_3219 (fliO); SO_3220 (fliN); SO_3221 (fliM); SO_3222 (fliL); SO_3223 (fliK); SO_3224 (fliJ); SO_3225 (fliI); SO_3226 (fliH); SO_3227 (fliG); SO_3228 (fliF); SO_3229 (fliE); SO_3230 (flrC); SO_3231 (flrB); SO_3232 (flrA).,,SO_3200 (SO_3200); SO_3209 (cheY); SO_3210 (fliA); SO_3223 (fliK).,0.150,NA,0.014,Y,0.014,The insertion for SO_3210 appears at the intersection of the ending of SO_3211 and the beginning of SO_3210. We interpreted this to mean that SO_3210 was the gene most likely to be affected by the transposon.
Type II Protein Secretion System,SO_0165 (gspC); SO_0166 (gspD); SO_0168 (gspF); SO_0169 (gspG); SO_0170 (gspH); SO_0171 (gspI); SO_0172 (gspJ); SO_0173 (gspK); SO_0174 (gspL); SO_0175 (gspM); SO_0176 (gspN).,SO_0165 (gspC); SO_0166 (gspD); SO_0168 (gspF); SO_0169 (gspG); SO_0170 (gspH); SO_0171 (gspI); SO_0172 (gspJ); SO_0173 (gspK); SO_0174 (gspL); SO_0175 (gspM); SO_0176 (gspN).,SO_0165 (gspC); SO_0166 (gspD); SO_0168 (gspF); SO_0169 (gspG); SO_0170 (gspH); SO_0171 (gspI); SO_0172 (gspJ); SO_0173 (gspK); SO_0174 (gspL); SO_0175 (gspM); SO_0176 (gspN).,SO_0165 (gspC); SO_0166 (gspD); SO_0168 (gspF); SO_0169 (gspG); SO_0170 (gspH); SO_0171 (gspI); SO_0172 (gspJ); SO_0173 (gspK); SO_0174 (gspL); SO_0175 (gspM); SO_0176 (gspN).,SO_0167 (gspE); SO_0174 (gspL); SO_0175 (gspM).,,0.030,0.0055,NA,Y,0.0055,
ฮฑ-ketoglutarate Uptake System,SO_0454 (SO_0454); SO_0455 (SO_0455); SO_0456 (SO_0456).,SO_0454 (SO_0454); SO_0455 (SO_0455); SO_0456 (SO_0456).,SO_0454 (SO_0454); SO_0455 (SO_0455); SO_0456 (SO_0456).,SO_0454 (SO_0454); SO_0455 (SO_0455); SO_0456 (SO_0456).,SO_0455 (SO_0455); SO_0456 (SO_0456).,,0.015,0.0043,NA,Y,0.0043,
Olefin Biosynthesis,SO_1742 (oleA); SO_1743 (oleB); SO_1744 (oleC); SO_1745 (oleD).,SO_1742 (oleA); SO_1743 (oleB); SO_1744 (oleC); SO_1745 (oleD).,SO_1742 (oleA); SO_1743 (oleB); SO_1744 (oleC); SO_1745 (oleD).,SO_1742 (oleA); SO_1743 (oleB); SO_1745 (oleD).,SO_1743 (oleB); SO_1745 (oleD).,,0.015,0.0043,NA,Y,0.0043,
Inosine 5สน-monophosphate (IMP) Biosynthesis,SO_3554 (purE); SO_3555 (purK).,SO_3554 (purE); SO_3555 (purK).,SO_3554 (purE); SO_3555 (purK).,SO_3554 (purE); SO_3555 (purK).,SO_3554 (purE); SO_3555 (purK).,,0.0051,0.0015,NA,Y,0.0015,
Aerobic e- Transport Chain Complex III,SO_0608 (petA); SO_0609 (petB); SO_0610 (petC); SO_0611 (sspA); SO_0612 (sspB).,SO_0608 (petA); SO_0609 (petB); SO_0610 (petC); SO_0611 (sspA); SO_0612 (sspB).,SO_0608 (petA); SO_0609 (petB); SO_0610 (petC); SO_0611 (sspA); SO_0612 (sspB).,SO_0608 (petA); SO_0609 (petB).,,SO_0608 (petA); SO_0609 (petB).,0.0051,NA,0.0011,Y,0.0011,
Polysaccharide and O-antigen Synthesis 1,SO_3188 (rfbB); SO_3189 (wbpP); SO_3190 (wbpA); SO_3191 (wzz); SO_3192 (wzd).,SO_3188 (rfbB); SO_3189 (wbpP); SO_3190 (wbpA); SO_3191 (wzz); SO_3192 (wzd).,SO_3188 (rfbB); SO_3189 (wbpP); SO_3190 (wbpA); SO_3191 (wzz); SO_3192 (wzd).,SO_3188 (rfbB); SO_3189 (wbpP); SO_3190 (wbpA); SO_3191 (wzz); SO_3192 (wzd).,SO_3189 (wbpP); SO_3190 (wbpA); SO_3191 (wzz); SO_3192 (wzd).,,1.2E-04,1.02E-05,NA,Y,1.02E-05,
Polysaccharide and O-antigen Synthesis 2,SO_3171 (wbfY); SO_3172 (wbfU); SO_3173 (SO_3173); SO_3175 (wbpQ); SO_3176 (SO_3176); SO_3177 (SO_3177); SO_3178 (SO_3178); SO_3179 (wzy); SO_4799 (wbnJ); SO_3180 (wbnI); SO_3181 (wzx); SO_3183 (SO_3183); SO_3184 (wbqC); SO_3185 (SO_3185); SO_3186 (rmlA); SO_4800 (SO_4800).,SO_3171 (wbfY); SO_3172 (wbfU); SO_3173 (SO_3173); SO_3175 (wbpQ); SO_3176 (SO_3176); SO_3177 (SO_3177); SO_3178 (SO_3178); SO_3179 (wzy); SO_3180 (wbnI); SO_3181 (wzx); SO_3183 (SO_3183); SO_3184 (wbqC); SO_3185 (SO_3185); SO_3186 (rmlA).,SO_3171 (wbfY); SO_3172 (wbfU); SO_3173 (SO_3173); SO_3175 (wbpQ); SO_3176 (SO_3176); SO_3177 (SO_3177); SO_3178 (SO_3178); SO_3179 (wzy); SO_4799 (wbnJ); SO_3180 (wbnI); SO_3181 (wzx); SO_3183 (SO_3183); SO_3184 (wbqC); SO_3185 (SO_3185); SO_3186 (rmlA); SO_4800 (SO_4800).,SO_3174 (SO_3174); SO_3175 (wbpQ); SO_4799 (wbnJ); SO_3182 (wbnH); SO_3183 (SO_3183); SO_3185 (SO_3185); SO_3186 (rmlA); SO_4800 (SO_4800).,SO_3174 (SO_3174); SO_3175 (wbpQ); SO_4799 (wbnJ); SO_3182 (wbnH); SO_3183 (SO_3183); SO_4800 (SO_4800).,,3.2E-06,7.66E-08,NA,Y,7.66E-08,Operon Source #1 does not recognize SO_4799 and SO_4800
MSHA Pilus Assembly,SO_4100 (mshQ); SO_4101 (mshP); SO_4102 (mshO); SO_4103 (mshD); SO_4104 (mshC); SO_4105 (mshA); SO_4106 (mshB); SO_4107 (mshF); SO_4108 (mshG); SO_4109 (mshE); SO_4110 (mshN); SO_4111 (mshM); SO_4112 (mshL); SO_4113 (mshK); SO_4114 (mshJ); SO_4115 (mshI1).,SO_4100 (mshQ); SO_4101 (mshP); SO_4102 (mshO); SO_4103 (mshD); SO_4104 (mshC); SO_4105 (mshA); SO_4106 (mshB); SO_4107 (mshF); SO_4108 (mshG); SO_4109 (mshE); SO_4110 (mshN); SO_4111 (mshM); SO_4112 (mshL); SO_4113 (mshK); SO_4114 (mshJ); SO_4115 (mshI1).,SO_4100 (mshQ); SO_4101 (mshP); SO_4102 (mshO); SO_4103 (mshD); SO_4104 (mshC); SO_4105 (mshA); SO_4106 (mshB); SO_4107 (mshF); SO_4108 (mshG); SO_4109 (mshE); SO_4110 (mshN); SO_4111 (mshM); SO_4112 (mshL); SO_4113 (mshK); SO_4114 (mshJ); SO_4115 (mshI1).,"SO_4100 (mshQ); SO_4101 (mshP); SO_4103 (mshD); SO_4104 (mshC); SO_4105 (mshA); SO_4106 (mshB); SO_4107 (mshF); SO_4108 (mshG); SO_4109 (mshE); SO_4110 (mshN); SO_4111 (mshM); SO_4112 (mshL); SO_4113 (mshK); SO_4114 (mshJ); SO_4115 (mshI1).
",,SO_4100 (mshQ); SO_4101 (mshP); SO_4103 (mshD); SO_4105 (mshA); SO_4106 (mshB); SO_4108 (mshG); SO_4109 (mshE); SO_4111 (mshM); SO_4112 (mshL); SO_4113 (mshK); SO_4114 (mshJ); SO_4115 (mshI1).,5.3E-12,NA,4.13E-16,Y,4.13E-16,